,Document_No,Topics,Text
3323,3323,"6 0.282010582010582, 2 0.12275132275132275, 0 0.11904761904761904, 1 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904, 5 0.11904761904761904",make sure lines in files dont have trailing white spaces and remove all trailing white spaces
3324,3324,"2 0.15659340659340656, 3 0.15659340659340656, 0 0.13736263736263737, 1 0.13736263736263737, 4 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",if statement can be simplified
3325,3325,"2 0.28330928330928334, 4 0.12842712842712842, 0 0.12337662337662338, 3 0.12337662337662338, 6 0.12337662337662338, 1 0.10990860990860994, 5 0.10822510822510827",crlf -> lfjavadoc: fix typo but working is still awkward.simplify issamelenght implementations by reusing getlength. this also fixes a lot of the useless paranthesis warnings generated by pmd.
3326,3326,"2 0.2468253968253968, 6 0.14682539682539678, 3 0.1246031746031746, 1 0.12275132275132275, 4 0.12089947089947091, 0 0.11904761904761905, 5 0.11904761904761905","make sure placement of curly braces is consistent: add support for varargs in constructorutils, memberutils, and methodutilsthis from github."
3327,3327,"0 0.19327731092436976, 1 0.16713352007469653, 6 0.15406162464985992, 4 0.13281979458450047, 2 0.12955182072829133, 3 0.1181139122315593, 5 0.10504201680672272","remove redundant type arguments.: add event support utilitiesapplying documentation patch ""commons-event-support-docs.patch"" from michael wooten.changing eol-style to native.misc. event utils."
3328,3328,"0 0.1878306878306878, 2 0.14462081128747795, 3 0.13639035861258086, 1 0.13433274544385657, 4 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: add empty checks to objectutils
3329,3329,"2 0.19274376417233557, 3 0.16981607457797934, 1 0.13630637440161247, 0 0.1327790375409423, 6 0.1292517006802721, 4 0.12396069538926685, 5 0.11514235323759135","[] constructorutils.invokeconstructor(class, object...)regressionadd final modifier to local variables.: add support for varargs in constructorutils, memberutils, and methodutilsthis from github."
3330,3330,"3 0.3232518232518233, 2 0.14307164307164308, 4 0.12655512655512655, 6 0.11003861003861001, 0 0.10102960102960105, 1 0.09952809952809955, 5 0.09652509652509655",fix non-critical typos in comments and javadocfix typos in several local variablesscope of local variabel shift can be narrowerpmd: useless parenthesesformat to 120 line length.add final modifier to local variables.add final modifier to method parameters.use better method names. document possible arrayindexoutofboundsexception and stringindexoutofboundsexception.
3331,3331,"3 0.20057720057720055, 2 0.15007215007215005, 0 0.12987012987012989, 1 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to local variables.
3332,3332,"5 0.2783068783068783, 6 0.1246031746031746, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3333,3333,"1 0.6954912844483396, 2 0.06563443373259324, 3 0.05404615834063686, 4 0.04927451553218423, 5 0.046547862498782754, 0 0.045184535982082004, 6 0.043821209465381254",add final modifier to method parameters.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
3334,3334,"4 0.21074481074481075, 0 0.1526251526251526, 1 0.1492063492063492, 2 0.14407814407814407, 3 0.12185592185592187, 5 0.11159951159951163, 6 0.10989010989010992","[github] commons-lang pull request : intellij idea refactorings..add todosfix brace positionsapplying valentin rochers patch from , adding isinstanceof and isassignablefrom methods. "
3335,3335,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
3336,3336,"5 0.1536388140161725, 6 0.1536388140161725, 2 0.14944594189877206, 1 0.13896376160527107, 0 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064",checkstyle and trailing spaces.
3337,3337,"3 0.1959496442255063, 6 0.14422550629447178, 5 0.1403940886699507, 0 0.13656267104542966, 2 0.13464696223316913, 1 0.12506841817186648, 4 0.12315270935960594",add final modifier to local variables.1154fastdateformat apis that use a stringbuilder
3338,3338,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
3339,3339,"2 0.20017636684303344, 6 0.1384479717813051, 0 0.1322751322751323, 1 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323, 5 0.1322751322751323",make sure placement of curly braces is consistent
3340,3340,"3 0.28798185941043075, 2 0.12925170068027206, 1 0.1221970269589317, 0 0.12043335852859662, 4 0.11337868480725623, 5 0.11337868480725623, 6 0.11337868480725623","[] part 2: refactor tostringstyle and tostringbuildertest to verify that we are unsetting the registry when no longer needed[] clear threadlocal recursion registry (compatibly with existing tests, first pass)"
3341,3341,"2 0.2226823096388314, 6 0.20174833218311478, 4 0.1276742581090407, 1 0.12445364619277662, 0 0.11318150448585232, 3 0.10674028065332417, 5 0.10351966873706006",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.avoid deprecation message by inlining the deprecated method code body: fastdateprinter generates date objects wastefully168
3342,3342,"5 0.30823680823680827, 0 0.13856713856713856, 1 0.12054912054912054, 2 0.12054912054912054, 3 0.11003861003861003, 4 0.10553410553410555, 6 0.09652509652509657","change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. applying my fix to , and mikaels test case; fixing the fastdateformat to properly include the locale when formatting a date"
3343,3343,"0 0.4421215640727836, 4 0.10878823073945021, 2 0.09523809523809522, 6 0.09117305458768873, 1 0.08846302748741773, 3 0.08710801393728222, 5 0.08710801393728222","strsubstitutor can preserve escapesstrsubstitutor can now optionally preserve the escape character for anescaped reference, which is useful when substitution takes place inmultiple phases and some references are intentionally unresolved. priorto this change, an unresolved reference `${a}` and an escaped reference`$${a}` may result in the same string `${a}`, making it impossible foran additional substitution phase to distinguish between escapedreferences and non-escaped references."
3344,3344,"5 0.1590241034685479, 0 0.15285126396237503, 1 0.14462081128747795, 3 0.13844797178130513, 2 0.13639035861258086, 4 0.13639035861258086, 6 0.1322751322751323",[] added timedsemaphore class to concurrent package.
3345,3345,"3 0.1980347694633409, 0 0.19450743260267067, 1 0.1345427059712774, 4 0.12396069538926682, 2 0.12043335852859666, 5 0.11514235323759135, 6 0.11337868480725626",: update java requirement from java 6 to 7replace usage of deprecated objectutilsequals with objectsequalsadd final modifier to local variables.[] added constantinitializer class
3346,3346,"6 0.2049319727891156, 5 0.15731292517006798, 0 0.12755102040816327, 1 0.12755102040816327, 2 0.12755102040816327, 3 0.12755102040816327, 4 0.12755102040816327",trailing spaces fastdateparser does not handle non-gregorian calendars properlyuse calendargetdisplaynames() instead of dateformatsymbolsgeteras()
3347,3347,"0 0.253734827264239, 4 0.188375350140056, 2 0.13281979458450044, 1 0.10994397759103644, 3 0.1050420168067227, 5 0.1050420168067227, 6 0.1050420168067227","lan-1114 fixes bug in typeutils.equals(wildcardtype, type) where it was incorrectly returning true when the second argument was not a wildcard type.typeutils wildcard fixes[] new type util features"
3348,3348,"6 0.21498189919242547, 3 0.1526037315510999, 4 0.1311612364243943, 0 0.12531328320802007, 1 0.12531328320802007, 2 0.12531328320802007, 5 0.12531328320802007",replace tabs with spaces fastdateparser and fastdateprinter support x format
3349,3349,"0 0.22276029055690072, 4 0.14178100618778583, 6 0.1380145278450363, 3 0.1342480495022868, 1 0.12106537530266347, 2 0.12106537530266347, 5 0.12106537530266347","moving center, left, leftpad, right, rightpad, mid, uppercase, lowercase and swapcase over to charsequence input. 687"
3350,3350,"2 0.1878306878306878, 4 0.14462081128747795, 5 0.13639035861258086, 0 0.13433274544385657, 1 0.1322751322751323, 3 0.1322751322751323, 6 0.1322751322751323", addgetandincrement/getanddecrement/getandadd/incrementandget/decrementandget/addandgetin mutable* classes
3351,3351,"0 0.22276029055690072, 4 0.14178100618778583, 6 0.1380145278450363, 3 0.1342480495022868, 1 0.12106537530266347, 2 0.12106537530266347, 5 0.12106537530266347","moving center, left, leftpad, right, rightpad, mid, uppercase, lowercase and swapcase over to charsequence input. 687"
3352,3352,"6 0.22468527640941435, 2 0.13656267104542968, 4 0.13656267104542966, 0 0.12889983579638753, 1 0.12506841817186648, 3 0.12506841817186648, 5 0.12315270935960596","added missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses ."
3353,3353,"3 0.22477324263038542, 2 0.1354875283446712, 1 0.12953514739229025, 0 0.12755102040816327, 4 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",fixing crlfsstatement unnecessarily nested within else clause.add threadutils
3354,3354,"6 0.17342739564961782, 1 0.15079365079365076, 5 0.14667842445620222, 0 0.1322751322751323, 2 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323",[] fastdateformat generates date objects wastefully.
3355,3355,"5 0.2864949258391881, 6 0.12438199323445222, 0 0.11891751236013531, 4 0.11891751236013531, 1 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3356,3356,"2 0.17960023515579068, 4 0.14462081128747795, 1 0.13844797178130513, 0 0.13639035861258086, 3 0.13639035861258086, 5 0.1322751322751323, 6 0.1322751322751323",: added shuffle methods to arrayutils
3357,3357,"0 0.19177725735102782, 2 0.15170439760603693, 6 0.14623991673172, 4 0.14441842310694766, 3 0.1262034868592246, 1 0.12256049960967998, 5 0.11709601873536302",make usage of default charset explicit and remove findbugs exclusion. kudos to sebb for spotting this.
3358,3358,"2 0.21577380952380953, 0 0.16889880952380953, 4 0.14632936507936506, 6 0.12896825396825395, 5 0.1168154761904762, 1 0.11160714285714289, 3 0.11160714285714289",removes unnecessary class reference of static method calls which are declared in the same classcrlf -> lfjavadoc: fix typo but working is still awkward.
